source,target,total_value,min_gas_price,transaction_count
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0,11990380833,276
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0,17924555369,466
0xe93381fb4c4f14bda253907b18fad305d799241a,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0,20000000000,61
0x28c6c06298d514db089934071355e5743bf21d60,0x081131434f93063751813c619ecca9c4dc7862a3,0,12443755613,55
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x08c32b0726c5684024ea6e141c50ade9690bbdcc,0,12904519954,55
0x28c6c06298d514db089934071355e5743bf21d60,0x090185f2135308bad17527004364ebcc2d37e5f6,0,12099086479,90
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x090185f2135308bad17527004364ebcc2d37e5f6,0,11923154089,86
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x090185f2135308bad17527004364ebcc2d37e5f6,0,12657777150,88
0x8c54ebdd960056d2cff5998df5695daca1fc0190,0x090185f2135308bad17527004364ebcc2d37e5f6,0,11667476681,68
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x0abdace70d3790235af448c88547603b945604ea,0,12813620342,55
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0x0b38210ea11411557c13457d4da7dc6ea731b88a,0,12308270911,56
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x0b38210ea11411557c13457d4da7dc6ea731b88a,0,11751463375,89
0x28c6c06298d514db089934071355e5743bf21d60,0x0b38210ea11411557c13457d4da7dc6ea731b88a,0,12497346045,98
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x0b38210ea11411557c13457d4da7dc6ea731b88a,0,11513335241,95
0x28c6c06298d514db089934071355e5743bf21d60,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0,11869649058,169
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0,11796736599,161
